InvoiceID,Branch,City,Customertype,Gender,Productline,Unitprice,Quantity,Tax5%,Total,Date,Time,Payment,cogs,grossmarginpercentage,grossincome,Rating
407-63-8975,A,Yangon,Normal,Male,Food and beverages,73.88,6,22.16,465.44,2019-03-23,19:16:00,Ewallet,443.28,4.76,22.16,4.40
342-65-4817,C,Naypyitaw,Member,Male,Health and beauty,86.80,3,13.02,273.42,2019-01-28,16:47:00,Ewallet,260.40,4.76,13.02,9.90
130-98-8941,C,Naypyitaw,Normal,Male,Fashion accessories,64.26,7,22.49,472.31,2019-02-09,10:00:00,Cash,449.82,4.76,22.49,5.70
434-83-9547,C,Naypyitaw,Member,Male,Food and beverages,38.47,8,15.39,323.15,2019-01-23,11:51:00,Cash,307.76,4.76,15.39,7.70
851-28-6367,A,Yangon,Member,Male,Sports and travel,15.50,10,7.75,162.75,2019-03-23,10:55:00,Ewallet,155.00,4.76,7.75,8.00
824-88-3614,C,Naypyitaw,Normal,Male,Health and beauty,34.31,8,13.72,288.20,2019-01-25,15:00:00,Ewallet,274.48,4.76,13.72,5.70
586-25-0848,A,Yangon,Normal,Female,Sports and travel,12.34,7,4.32,90.70,2019-03-04,11:19:00,Credit card,86.38,4.76,4.32,6.70
895-66-0685,B,Mandalay,Member,Male,Food and beverages,18.08,3,2.71,56.95,2019-03-05,19:46:00,Ewallet,54.24,4.76,2.71,8.00
305-14-0245,B,Mandalay,Member,Female,Home and lifestyle,94.49,8,37.80,793.72,2019-03-03,19:00:00,Ewallet,755.92,4.76,37.80,7.50
732-04-5373,B,Mandalay,Member,Male,Home and lifestyle,46.47,4,9.29,195.17,2019-02-08,10:53:00,Cash,185.88,4.76,9.29,7.00
400-60-7251,A,Yangon,Normal,Male,Home and lifestyle,74.07,1,3.70,77.77,2019-02-10,12:50:00,Ewallet,74.07,4.76,3.70,9.90
593-65-1552,C,Naypyitaw,Normal,Female,Home and lifestyle,69.81,4,13.96,293.20,2019-01-28,20:50:00,Credit card,279.24,4.76,13.96,5.90
284-34-9626,B,Mandalay,Normal,Female,Home and lifestyle,77.04,3,11.56,242.68,2019-02-11,10:39:00,Credit card,231.12,4.76,11.56,7.20
437-58-8131,B,Mandalay,Normal,Female,Fashion accessories,73.52,2,7.35,154.39,2019-01-15,13:41:00,Ewallet,147.04,4.76,7.35,4.60
286-43-6208,C,Naypyitaw,Normal,Female,Food and beverages,87.80,9,39.51,829.71,2019-03-16,19:08:00,Cash,790.20,4.76,39.51,9.20
641-43-2399,B,Mandalay,Normal,Male,Home and lifestyle,25.55,4,5.11,107.31,2019-01-26,20:23:00,Ewallet,102.20,4.76,5.11,5.70
831-07-6050,A,Yangon,Normal,Male,Electronic accessories,32.71,5,8.18,171.73,2019-03-19,11:30:00,Credit card,163.55,4.76,8.18,9.90
556-86-3144,C,Naypyitaw,Member,Female,Fashion accessories,74.29,1,3.71,78.00,2019-01-13,19:30:00,Cash,74.29,4.76,3.71,5.00
848-24-9445,C,Naypyitaw,Member,Male,Health and beauty,43.70,2,4.37,91.77,2019-03-26,18:03:00,Cash,87.40,4.76,4.37,4.90
856-22-8149,A,Yangon,Normal,Female,Home and lifestyle,25.29,1,1.26,26.55,2019-03-23,10:13:00,Ewallet,25.29,4.76,1.26,6.10
699-01-4164,C,Naypyitaw,Normal,Male,Health and beauty,41.50,4,8.30,174.30,2019-03-12,19:58:00,Credit card,166.00,4.76,8.30,8.20
420-11-4919,C,Naypyitaw,Member,Female,Food and beverages,71.39,5,17.85,374.80,2019-02-17,19:57:00,Credit card,356.95,4.76,17.85,5.50
606-80-4905,C,Naypyitaw,Member,Female,Sports and travel,19.15,6,5.75,120.65,2019-01-29,10:01:00,Credit card,114.90,4.76,5.75,6.80
542-41-0513,B,Mandalay,Member,Female,Electronic accessories,57.49,4,11.50,241.46,2019-03-15,11:57:00,Cash,229.96,4.76,11.50,6.60
426-39-2418,C,Naypyitaw,Normal,Male,Electronic accessories,61.41,7,21.49,451.36,2019-01-14,10:02:00,Cash,429.87,4.76,21.49,9.80
875-46-5808,B,Mandalay,Member,Male,Health and beauty,25.90,10,12.95,271.95,2019-02-06,14:51:00,Ewallet,259.00,4.76,12.95,8.70
394-43-4238,B,Mandalay,Member,Male,Home and lifestyle,17.77,5,4.44,93.29,2019-02-15,12:42:00,Credit card,88.85,4.76,4.44,5.40
749-24-1565,A,Yangon,Normal,Female,Health and beauty,23.03,9,10.36,217.63,2019-01-03,12:02:00,Ewallet,207.27,4.76,10.36,7.90
672-51-8681,C,Naypyitaw,Member,Female,Electronic accessories,66.65,9,29.99,629.84,2019-01-04,18:19:00,Credit card,599.85,4.76,29.99,9.70
263-87-5680,C,Naypyitaw,Member,Female,Home and lifestyle,28.53,10,14.27,299.57,2019-03-18,17:38:00,Ewallet,285.30,4.76,14.27,7.80
573-58-9734,B,Mandalay,Normal,Female,Fashion accessories,30.37,3,4.56,95.67,2019-03-28,13:41:00,Ewallet,91.11,4.76,4.56,5.10
817-69-8206,B,Mandalay,Normal,Female,Electronic accessories,99.73,9,44.88,942.45,2019-03-02,19:42:00,Credit card,897.57,4.76,44.88,6.50
888-02-0338,A,Yangon,Normal,Male,Electronic accessories,26.23,9,11.80,247.87,2019-01-25,20:24:00,Ewallet,236.07,4.76,11.80,5.90
677-11-0152,C,Naypyitaw,Normal,Female,Food and beverages,93.26,9,41.97,881.31,2019-01-16,18:08:00,Cash,839.34,4.76,41.97,8.80
142-63-6033,B,Mandalay,Normal,Male,Home and lifestyle,92.36,5,23.09,484.89,2019-03-20,19:17:00,Ewallet,461.80,4.76,23.09,4.90
656-16-1063,B,Mandalay,Normal,Male,Sports and travel,46.42,3,6.96,146.22,2019-01-04,13:24:00,Credit card,139.26,4.76,6.96,4.40
891-58-8335,B,Mandalay,Member,Female,Sports and travel,29.61,7,10.36,217.63,2019-03-11,15:53:00,Cash,207.27,4.76,10.36,6.50
802-43-8934,A,Yangon,Normal,Male,Home and lifestyle,18.28,1,0.91,19.19,2019-03-22,15:05:00,Credit card,18.28,4.76,0.91,8.30
560-30-5617,B,Mandalay,Normal,Female,Sports and travel,24.77,5,6.19,130.04,2019-03-24,18:27:00,Cash,123.85,4.76,6.19,8.50
319-74-2561,A,Yangon,Member,Female,Electronic accessories,94.64,3,14.20,298.12,2019-02-21,16:55:00,Cash,283.92,4.76,14.20,5.50
549-03-9315,B,Mandalay,Normal,Male,Fashion accessories,94.87,8,37.95,796.91,2019-02-12,12:58:00,Ewallet,758.96,4.76,37.95,8.70
790-29-1172,B,Mandalay,Normal,Female,Food and beverages,57.34,3,8.60,180.62,2019-03-10,18:59:00,Credit card,172.02,4.76,8.60,7.90
239-36-3640,B,Mandalay,Normal,Male,Electronic accessories,45.35,6,13.61,285.71,2019-01-31,13:44:00,Ewallet,272.10,4.76,13.61,6.10
468-01-2051,B,Mandalay,Normal,Male,Food and beverages,62.08,7,21.73,456.29,2019-03-06,13:46:00,Ewallet,434.56,4.76,21.73,5.40
389-25-3394,C,Naypyitaw,Normal,Male,Electronic accessories,11.81,5,2.95,62.00,2019-02-17,18:06:00,Cash,59.05,4.76,2.95,9.40
279-62-1445,C,Naypyitaw,Member,Female,Fashion accessories,12.54,1,0.63,13.17,2019-02-21,12:38:00,Cash,12.54,4.76,0.63,8.20
213-72-6612,A,Yangon,Normal,Male,Food and beverages,43.25,2,4.33,90.83,2019-03-20,15:56:00,Cash,86.50,4.76,4.33,6.20
746-68-6593,C,Naypyitaw,Member,Female,Sports and travel,87.16,2,8.72,183.04,2019-01-11,14:29:00,Credit card,174.32,4.76,8.72,9.70
836-82-5858,B,Mandalay,Member,Male,Health and beauty,69.37,9,31.22,655.55,2019-01-26,19:14:00,Ewallet,624.33,4.76,31.22,4.00
583-72-1480,C,Naypyitaw,Member,Male,Electronic accessories,37.06,4,7.41,155.65,2019-01-31,16:24:00,Ewallet,148.24,4.76,7.41,9.70
466-61-5506,B,Mandalay,Member,Female,Electronic accessories,90.70,6,27.21,571.41,2019-02-26,10:52:00,Cash,544.20,4.76,27.21,5.30
721-86-6247,A,Yangon,Normal,Female,Home and lifestyle,63.42,8,25.37,532.73,2019-03-11,12:55:00,Ewallet,507.36,4.76,25.37,7.40
289-65-5721,B,Mandalay,Normal,Female,Fashion accessories,81.37,2,8.14,170.88,2019-01-26,19:28:00,Cash,162.74,4.76,8.14,6.50
545-46-3100,B,Mandalay,Member,Female,Electronic accessories,10.59,3,1.59,33.36,2019-03-12,13:52:00,Credit card,31.77,4.76,1.59,8.70
418-02-5978,B,Mandalay,Normal,Female,Health and beauty,84.09,9,37.84,794.65,2019-02-11,10:54:00,Cash,756.81,4.76,37.84,8.00
269-04-5750,B,Mandalay,Member,Male,Fashion accessories,73.82,4,14.76,310.04,2019-02-21,18:31:00,Cash,295.28,4.76,14.76,6.70
157-13-5295,A,Yangon,Member,Male,Health and beauty,51.94,10,25.97,545.37,2019-03-09,18:24:00,Ewallet,519.40,4.76,25.97,6.50
645-78-8093,A,Yangon,Normal,Female,Sports and travel,93.14,2,9.31,195.59,2019-01-20,18:09:00,Ewallet,186.28,4.76,9.31,4.10
211-30-9270,C,Naypyitaw,Normal,Male,Health and beauty,17.41,5,4.35,91.40,2019-01-28,15:16:00,Credit card,87.05,4.76,4.35,4.90
755-12-3214,C,Naypyitaw,Member,Female,Fashion accessories,44.22,5,11.06,232.16,2019-03-05,17:07:00,Credit card,221.10,4.76,11.06,8.60
346-84-3103,B,Mandalay,Member,Female,Electronic accessories,13.22,5,3.31,69.41,2019-03-02,19:26:00,Cash,66.10,4.76,3.31,4.30
478-06-7835,A,Yangon,Normal,Male,Fashion accessories,89.69,1,4.48,94.17,2019-01-11,11:20:00,Ewallet,89.69,4.76,4.48,4.90
540-11-4336,A,Yangon,Normal,Male,Food and beverages,24.94,9,11.22,235.68,2019-01-11,16:49:00,Credit card,224.46,4.76,11.22,5.60
448-81-5016,A,Yangon,Normal,Male,Health and beauty,59.77,2,5.98,125.52,2019-03-11,12:01:00,Credit card,119.54,4.76,5.98,5.80
142-72-4741,C,Naypyitaw,Member,Male,Fashion accessories,93.20,2,9.32,195.72,2019-02-28,18:37:00,Credit card,186.40,4.76,9.32,6.00
217-58-1179,A,Yangon,Member,Male,Home and lifestyle,62.65,4,12.53,263.13,2019-01-05,11:25:00,Cash,250.60,4.76,12.53,4.20
376-02-8238,B,Mandalay,Normal,Male,Home and lifestyle,93.87,8,37.55,788.51,2019-02-02,18:42:00,Credit card,750.96,4.76,37.55,8.30
530-90-9855,A,Yangon,Member,Male,Home and lifestyle,47.59,8,19.04,399.76,2019-01-01,14:47:00,Cash,380.72,4.76,19.04,5.70
866-05-7563,B,Mandalay,Member,Female,Electronic accessories,81.40,3,12.21,256.41,2019-02-09,19:43:00,Cash,244.20,4.76,12.21,4.80
604-70-6476,A,Yangon,Member,Male,Fashion accessories,17.94,5,4.49,94.19,2019-01-23,14:04:00,Ewallet,89.70,4.76,4.49,6.80
799-71-1548,A,Yangon,Member,Male,Electronic accessories,77.72,4,15.54,326.42,2019-01-07,16:11:00,Credit card,310.88,4.76,15.54,8.80
785-13-7708,B,Mandalay,Normal,Male,Food and beverages,73.06,7,25.57,536.99,2019-01-14,19:06:00,Credit card,511.42,4.76,25.57,4.20
845-51-0542,B,Mandalay,Member,Male,Food and beverages,46.55,9,20.95,439.90,2019-02-02,15:34:00,Ewallet,418.95,4.76,20.95,6.40
662-47-5456,C,Naypyitaw,Member,Male,Fashion accessories,35.19,10,17.60,369.50,2019-03-17,19:06:00,Credit card,351.90,4.76,17.60,8.40
883-17-4236,C,Naypyitaw,Normal,Female,Sports and travel,14.39,2,1.44,30.22,2019-03-02,19:44:00,Credit card,28.78,4.76,1.44,7.20
290-68-2984,A,Yangon,Normal,Male,Home and lifestyle,23.75,4,4.75,99.75,2019-03-16,11:22:00,Cash,95.00,4.76,4.75,5.20
704-11-6354,A,Yangon,Member,Male,Home and lifestyle,58.90,8,23.56,494.76,2019-01-06,11:23:00,Cash,471.20,4.76,23.56,8.90
110-48-7033,B,Mandalay,Member,Male,Fashion accessories,32.62,4,6.52,137.00,2019-01-29,14:12:00,Cash,130.48,4.76,6.52,9.00
366-93-0948,A,Yangon,Member,Male,Electronic accessories,66.35,1,3.32,69.67,2019-01-31,10:46:00,Credit card,66.35,4.76,3.32,9.70
729-09-9681,A,Yangon,Member,Male,Home and lifestyle,25.91,6,7.77,163.23,2019-02-05,10:16:00,Ewallet,155.46,4.76,7.77,8.70
151-16-1484,A,Yangon,Member,Male,Electronic accessories,32.25,4,6.45,135.45,2019-02-13,12:38:00,Ewallet,129.00,4.76,6.45,6.50
380-94-4661,C,Naypyitaw,Member,Male,Electronic accessories,65.94,4,13.19,276.95,2019-02-07,13:05:00,Credit card,263.76,4.76,13.19,6.90
850-41-9669,A,Yangon,Normal,Female,Electronic accessories,75.06,9,33.78,709.32,2019-03-19,13:25:00,Ewallet,675.54,4.76,33.78,6.20
821-07-3596,C,Naypyitaw,Normal,Female,Fashion accessories,16.45,4,3.29,69.09,2019-03-07,14:53:00,Ewallet,65.80,4.76,3.29,5.60
655-85-5130,B,Mandalay,Member,Female,Fashion accessories,38.30,4,7.66,160.86,2019-03-13,19:22:00,Cash,153.20,4.76,7.66,5.70
447-15-7839,A,Yangon,Member,Female,Sports and travel,22.24,10,11.12,233.52,2019-02-09,11:00:00,Cash,222.40,4.76,11.12,4.20
154-74-7179,B,Mandalay,Normal,Male,Sports and travel,54.45,1,2.72,57.17,2019-02-26,19:24:00,Ewallet,54.45,4.76,2.72,7.90
253-12-6086,A,Yangon,Member,Female,Sports and travel,98.40,7,34.44,723.24,2019-03-12,12:43:00,Credit card,688.80,4.76,34.44,8.70
808-65-0703,C,Naypyitaw,Normal,Male,Home and lifestyle,35.47,4,7.09,148.97,2019-03-14,17:22:00,Credit card,141.88,4.76,7.09,6.90
571-94-0759,B,Mandalay,Member,Female,Food and beverages,74.60,10,37.30,783.30,2019-01-08,20:55:00,Cash,746.00,4.76,37.30,9.50
144-51-6085,A,Yangon,Member,Male,Home and lifestyle,70.74,4,14.15,297.11,2019-01-05,16:05:00,Credit card,282.96,4.76,14.15,4.40
731-14-2199,A,Yangon,Member,Female,Home and lifestyle,35.54,10,17.77,373.17,2019-01-04,13:34:00,Ewallet,355.40,4.76,17.77,7.00
783-09-1637,B,Mandalay,Normal,Female,Sports and travel,67.43,5,16.86,354.01,2019-03-06,18:13:00,Ewallet,337.15,4.76,16.86,6.30
687-15-1097,C,Naypyitaw,Member,Female,Health and beauty,21.12,2,2.11,44.35,2019-01-03,19:17:00,Cash,42.24,4.76,2.11,9.70
126-54-1082,A,Yangon,Member,Female,Home and lifestyle,21.54,9,9.69,203.55,2019-01-07,11:44:00,Credit card,193.86,4.76,9.69,8.80
633-91-1052,A,Yangon,Normal,Female,Home and lifestyle,12.03,2,1.20,25.26,2019-01-27,15:51:00,Cash,24.06,4.76,1.20,5.10
477-24-6490,B,Mandalay,Normal,Female,Health and beauty,99.71,6,29.91,628.17,2019-02-26,16:52:00,Ewallet,598.26,4.76,29.91,7.90
566-19-5475,B,Mandalay,Normal,Male,Fashion accessories,47.97,7,16.79,352.58,2019-01-07,20:52:00,Cash,335.79,4.76,16.79,6.20
526-86-8552,C,Naypyitaw,Member,Female,Home and lifestyle,21.82,10,10.91,229.11,2019-01-07,17:36:00,Cash,218.20,4.76,10.91,7.10
376-56-3573,C,Naypyitaw,Normal,Female,Fashion accessories,95.42,4,19.08,400.76,2019-02-02,13:23:00,Ewallet,381.68,4.76,19.08,6.40
537-72-0426,C,Naypyitaw,Member,Male,Fashion accessories,70.99,10,35.50,745.40,2019-03-20,16:28:00,Cash,709.90,4.76,35.50,5.70
828-61-5674,A,Yangon,Member,Male,Sports and travel,44.02,10,22.01,462.21,2019-03-20,19:57:00,Credit card,440.20,4.76,22.01,9.60
136-08-6195,A,Yangon,Normal,Female,Home and lifestyle,69.96,8,27.98,587.66,2019-02-15,17:01:00,Credit card,559.68,4.76,27.98,6.40
523-38-0215,C,Naypyitaw,Normal,Male,Home and lifestyle,37.00,1,1.85,38.85,2019-03-06,13:29:00,Credit card,37.00,4.76,1.85,7.90
490-29-1201,A,Yangon,Normal,Female,Sports and travel,15.34,1,0.77,16.11,2019-01-06,11:09:00,Cash,15.34,4.76,0.77,6.50
667-92-0055,A,Yangon,Member,Male,Health and beauty,99.83,6,29.95,628.93,2019-03-04,15:02:00,Ewallet,598.98,4.76,29.95,8.50
565-17-3836,A,Yangon,Member,Female,Health and beauty,47.67,4,9.53,200.21,2019-03-12,14:21:00,Cash,190.68,4.76,9.53,9.10
498-41-1961,B,Mandalay,Normal,Male,Health and beauty,66.68,5,16.67,350.07,2019-02-20,18:01:00,Cash,333.40,4.76,16.67,7.60
593-95-4461,C,Naypyitaw,Member,Male,Home and lifestyle,74.86,1,3.74,78.60,2019-03-24,14:49:00,Cash,74.86,4.76,3.74,6.90
226-71-3580,C,Naypyitaw,Normal,Female,Sports and travel,23.75,9,10.69,224.44,2019-01-31,12:02:00,Cash,213.75,4.76,10.69,9.50
283-79-9594,B,Mandalay,Normal,Female,Food and beverages,48.51,7,16.98,356.55,2019-01-25,13:30:00,Credit card,339.57,4.76,16.98,5.20
430-60-3493,A,Yangon,Member,Female,Home and lifestyle,94.88,7,33.21,697.37,2019-02-03,14:38:00,Cash,664.16,4.76,33.21,4.20
139-20-0155,B,Mandalay,Member,Male,Electronic accessories,40.30,10,20.15,423.15,2019-01-24,17:37:00,Credit card,403.00,4.76,20.15,7.00
558-80-4082,C,Naypyitaw,Normal,Male,Electronic accessories,27.85,7,9.75,204.70,2019-03-14,17:20:00,Ewallet,194.95,4.76,9.75,6.00
278-97-7759,A,Yangon,Member,Female,Electronic accessories,62.48,1,3.12,65.60,2019-02-18,20:29:00,Cash,62.48,4.76,3.12,4.70
316-68-6352,A,Yangon,Member,Female,Food and beverages,36.36,2,3.64,76.36,2019-01-21,10:00:00,Cash,72.72,4.76,3.64,7.10
585-03-5943,B,Mandalay,Normal,Male,Health and beauty,18.11,10,9.06,190.16,2019-03-13,11:46:00,Ewallet,181.10,4.76,9.06,5.90
211-05-0490,C,Naypyitaw,Member,Female,Electronic accessories,51.92,5,12.98,272.58,2019-03-03,13:42:00,Cash,259.60,4.76,12.98,7.50
727-75-6477,C,Naypyitaw,Normal,Male,Electronic accessories,28.84,4,5.77,121.13,2019-03-29,14:44:00,Cash,115.36,4.76,5.77,6.40
744-02-5987,A,Yangon,Member,Male,Home and lifestyle,78.38,6,23.51,493.79,2019-01-10,14:16:00,Ewallet,470.28,4.76,23.51,5.80
307-83-9164,A,Yangon,Member,Male,Home and lifestyle,60.01,4,12.00,252.04,2019-01-25,15:54:00,Cash,240.04,4.76,12.00,4.50
779-06-0012,C,Naypyitaw,Member,Female,Home and lifestyle,88.61,1,4.43,93.04,2019-01-19,10:21:00,Cash,88.61,4.76,4.43,7.70
446-47-6729,C,Naypyitaw,Normal,Male,Fashion accessories,99.82,2,9.98,209.62,2019-01-02,18:09:00,Credit card,199.64,4.76,9.98,6.70
573-10-3877,B,Mandalay,Member,Male,Health and beauty,39.01,1,1.95,40.96,2019-03-12,16:46:00,Credit card,39.01,4.76,1.95,4.70
735-06-4124,C,Naypyitaw,Normal,Male,Food and beverages,48.61,1,2.43,51.04,2019-02-25,15:31:00,Cash,48.61,4.76,2.43,4.40
439-54-7422,A,Yangon,Normal,Female,Electronic accessories,51.19,4,10.24,215.00,2019-03-18,17:15:00,Credit card,204.76,4.76,10.24,4.70
396-90-2219,B,Mandalay,Normal,Female,Electronic accessories,14.96,8,5.98,125.66,2019-02-23,12:29:00,Cash,119.68,4.76,5.98,8.60
411-77-0180,A,Yangon,Member,Male,Electronic accessories,72.20,7,25.27,530.67,2019-03-26,20:14:00,Ewallet,505.40,4.76,25.27,4.30
286-01-5402,A,Yangon,Normal,Female,Sports and travel,40.23,7,14.08,295.69,2019-03-30,13:22:00,Cash,281.61,4.76,14.08,9.60
803-17-8013,A,Yangon,Member,Female,Home and lifestyle,88.79,8,35.52,745.84,2019-02-17,17:09:00,Cash,710.32,4.76,35.52,4.10
512-98-1403,A,Yangon,Member,Female,Electronic accessories,26.48,3,3.97,83.41,2019-03-21,10:40:00,Ewallet,79.44,4.76,3.97,4.70
848-42-2560,A,Yangon,Normal,Female,Fashion accessories,81.91,2,8.19,172.01,2019-03-05,17:43:00,Cash,163.82,4.76,8.19,7.80
532-59-7201,B,Mandalay,Member,Male,Sports and travel,79.93,6,23.98,503.56,2019-01-31,14:04:00,Cash,479.58,4.76,23.98,5.50
181-94-6432,C,Naypyitaw,Member,Male,Fashion accessories,69.33,2,6.93,145.59,2019-02-05,19:05:00,Ewallet,138.66,4.76,6.93,9.70
870-76-1733,A,Yangon,Member,Female,Food and beverages,14.23,5,3.56,74.71,2019-02-01,10:08:00,Credit card,71.15,4.76,3.56,4.40
423-64-4619,A,Yangon,Member,Female,Health and beauty,15.55,9,7.00,146.95,2019-03-07,13:12:00,Cash,139.95,4.76,7.00,5.00
227-07-4446,C,Naypyitaw,Member,Female,Electronic accessories,78.13,10,39.07,820.37,2019-02-10,20:51:00,Cash,781.30,4.76,39.07,4.40
174-36-3675,C,Naypyitaw,Member,Male,Food and beverages,99.37,2,9.94,208.68,2019-02-14,17:29:00,Cash,198.74,4.76,9.94,5.20
428-83-5800,C,Naypyitaw,Member,Female,Food and beverages,21.08,3,3.16,66.40,2019-02-09,10:25:00,Cash,63.24,4.76,3.16,7.30
603-07-0961,C,Naypyitaw,Member,Male,Electronic accessories,74.79,5,18.70,392.65,2019-01-10,11:34:00,Cash,373.95,4.76,18.70,4.90
704-20-4138,C,Naypyitaw,Member,Female,Health and beauty,29.67,7,10.38,218.07,2019-03-11,18:58:00,Credit card,207.69,4.76,10.38,8.10
787-15-1757,C,Naypyitaw,Member,Male,Health and beauty,44.07,4,8.81,185.09,2019-02-18,16:28:00,Ewallet,176.28,4.76,8.81,8.40
649-11-3678,C,Naypyitaw,Normal,Female,Food and beverages,22.93,9,10.32,216.69,2019-02-26,20:26:00,Cash,206.37,4.76,10.32,5.50
622-20-1945,C,Naypyitaw,Normal,Female,Health and beauty,39.42,1,1.97,41.39,2019-01-18,15:08:00,Cash,39.42,4.76,1.97,8.40
372-94-8041,A,Yangon,Normal,Male,Health and beauty,15.26,6,4.58,96.14,2019-02-15,18:03:00,Ewallet,91.56,4.76,4.58,9.80
563-91-7120,A,Yangon,Normal,Female,Fashion accessories,61.77,5,15.44,324.29,2019-03-08,13:21:00,Cash,308.85,4.76,15.44,6.70
746-54-5508,A,Yangon,Normal,Male,Home and lifestyle,21.52,6,6.46,135.58,2019-01-17,12:48:00,Credit card,129.12,4.76,6.46,9.40
276-54-0879,B,Mandalay,Normal,Male,Sports and travel,97.74,4,19.55,410.51,2019-03-12,19:53:00,Ewallet,390.96,4.76,19.55,6.40
815-11-1168,A,Yangon,Member,Male,Food and beverages,99.78,5,24.95,523.85,2019-03-09,19:09:00,Cash,498.90,4.76,24.95,5.40
719-76-3868,C,Naypyitaw,Member,Male,Food and beverages,94.26,4,18.85,395.89,2019-03-12,16:30:00,Cash,377.04,4.76,18.85,8.60
730-61-8757,B,Mandalay,Member,Male,Health and beauty,51.13,4,10.23,214.75,2019-01-25,10:11:00,Credit card,204.52,4.76,10.23,4.00
340-66-0321,A,Yangon,Member,Male,Electronic accessories,36.36,4,7.27,152.71,2019-03-25,13:07:00,Cash,145.44,4.76,7.27,7.60
868-81-1752,B,Mandalay,Normal,Male,Home and lifestyle,22.02,9,9.91,208.09,2019-02-07,18:48:00,Cash,198.18,4.76,9.91,6.80
634-97-8956,A,Yangon,Normal,Male,Food and beverages,32.90,3,4.94,103.64,2019-02-17,17:27:00,Credit card,98.70,4.76,4.94,9.10
566-71-1091,A,Yangon,Normal,Male,Fashion accessories,77.02,5,19.26,404.36,2019-02-03,15:59:00,Cash,385.10,4.76,19.26,5.50
442-48-3607,A,Yangon,Member,Male,Food and beverages,23.48,2,2.35,49.31,2019-03-14,11:21:00,Credit card,46.96,4.76,2.35,7.90
835-16-0096,C,Naypyitaw,Member,Male,Sports and travel,14.70,5,3.68,77.18,2019-03-24,13:48:00,Ewallet,73.50,4.76,3.68,8.50
527-09-6272,A,Yangon,Member,Female,Electronic accessories,28.45,5,7.11,149.36,2019-03-21,10:17:00,Credit card,142.25,4.76,7.11,9.10
898-04-2717,A,Yangon,Normal,Male,Fashion accessories,76.40,9,34.38,721.98,2019-03-19,15:49:00,Ewallet,687.60,4.76,34.38,7.50
692-27-8933,B,Mandalay,Normal,Female,Sports and travel,57.95,6,17.39,365.09,2019-02-24,13:02:00,Cash,347.70,4.76,17.39,5.20
633-09-3463,C,Naypyitaw,Normal,Female,Electronic accessories,47.65,3,7.15,150.10,2019-03-28,12:58:00,Credit card,142.95,4.76,7.15,9.50
374-17-3652,B,Mandalay,Member,Female,Food and beverages,42.82,9,19.27,404.65,2019-02-05,15:26:00,Credit card,385.38,4.76,19.27,8.90
378-07-7001,B,Mandalay,Member,Male,Electronic accessories,48.09,3,7.21,151.48,2019-02-10,18:23:00,Credit card,144.27,4.76,7.21,7.80
433-75-6987,B,Mandalay,Member,Female,Health and beauty,55.97,7,19.59,411.38,2019-03-05,19:06:00,Ewallet,391.79,4.76,19.59,8.90
873-95-4984,B,Mandalay,Member,Female,Health and beauty,76.90,7,26.92,565.22,2019-02-15,20:21:00,Cash,538.30,4.76,26.92,7.70
416-13-5917,C,Naypyitaw,Normal,Female,Food and beverages,97.03,5,24.26,509.41,2019-01-30,16:24:00,Ewallet,485.15,4.76,24.26,9.30
150-89-8043,A,Yangon,Normal,Male,Sports and travel,44.65,3,6.70,140.65,2019-02-14,15:04:00,Cash,133.95,4.76,6.70,6.20
135-84-8019,A,Yangon,Normal,Female,Fashion accessories,77.93,9,35.07,736.44,2019-02-27,16:10:00,Ewallet,701.37,4.76,35.07,7.60
441-94-7118,A,Yangon,Member,Male,Electronic accessories,71.95,1,3.60,75.55,2019-02-04,12:14:00,Cash,71.95,4.76,3.60,7.30
725-96-3778,C,Naypyitaw,Member,Female,Home and lifestyle,89.25,8,35.70,749.70,2019-01-20,10:13:00,Cash,714.00,4.76,35.70,4.70
531-80-1784,A,Yangon,Normal,Male,Electronic accessories,26.02,7,9.11,191.25,2019-03-28,17:38:00,Cash,182.14,4.76,9.11,5.10
400-45-1220,B,Mandalay,Normal,Female,Health and beauty,13.50,10,6.75,141.75,2019-02-27,11:06:00,Credit card,135.00,4.76,6.75,4.80
860-79-0874,C,Naypyitaw,Member,Female,Fashion accessories,99.30,10,49.65,1042.65,2019-02-15,14:53:00,Credit card,993.00,4.76,49.65,6.60
834-61-8124,A,Yangon,Normal,Male,Electronic accessories,51.69,7,18.09,379.92,2019-01-26,18:22:00,Cash,361.83,4.76,18.09,5.50
115-99-4379,B,Mandalay,Member,Female,Fashion accessories,54.73,7,19.16,402.27,2019-03-14,19:02:00,Credit card,383.11,4.76,19.16,8.50
565-67-6697,B,Mandalay,Member,Male,Home and lifestyle,27.00,9,12.15,255.15,2019-03-02,14:16:00,Cash,243.00,4.76,12.15,4.80
320-49-6392,C,Naypyitaw,Normal,Female,Electronic accessories,30.24,1,1.51,31.75,2019-03-04,15:44:00,Cash,30.24,4.76,1.51,8.40
889-04-9723,B,Mandalay,Member,Female,Food and beverages,89.14,4,17.83,374.39,2019-01-07,12:20:00,Credit card,356.56,4.76,17.83,7.80
632-90-0281,C,Naypyitaw,Normal,Female,Fashion accessories,37.55,10,18.78,394.28,2019-03-08,20:01:00,Credit card,375.50,4.76,18.78,9.30
